round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
46,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.5123180291153415,0.09742441209406494,0.49624860022396416,0.6920492721164614,0.2804031354983203,0.2748,0.2979166666666667,0.9921875,0.4962797619047619,0.2980926342599527,0.9919895893580104,0.49634890714511204,,,,0.47945000000000004,0.541,,,,0.6635416666666666,0.6276041666666667,,2.038650193023682,1.4833005828857422,0.3392523364485981,0.780373831775701,,-1,,1,0,10,1,0.41895296752519595,0.9974804031354984,4,5.421,11.224
48,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.5106382978723405,0.1114221724524076,0.49949608062709966,0.16349384098544234,0.28751399776035835,0.2812,0.29687499999999994,0.9921875,0.49553571428571425,0.2955604581830103,0.9918739155581261,0.4945071602901862,,,,0.4826,0.494,,,,0.6583333333333334,0.6276041666666666,,2.0247463371276853,1.77506591796875,0.34158878504672896,0.35514018691588783,,-1,,0,2,10,0,0.4176931690929451,0.9974804031354984,4,4.225,11.268
50,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.4949608062709966,0.11646136618141101,0.5436170212765957,0.32418812989921614,0.27166853303471444,0.26595,0.2875,0.9921875,0.4888392857142857,0.28447731191400416,0.9919590643274854,0.4866149554607131,,,,0.5234500000000001,0.507,,,,0.6989583333333333,0.6171875,,1.6492114189147948,1.84919384765625,0.3551401869158878,0.6074766355140186,,-1,,0,4,10,1,0.4185330347144457,0.9974804031354984,4,4.576,11.389
52,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.43505039193729,0.1114221724524076,0.5436170212765957,0.79003359462486,0.27099664053751404,0.26505,0.2947916666666667,0.9921875,0.49404761904761907,0.2877688908887521,0.991812865497076,0.4889243122054161,,,,0.5234500000000001,0.455,,,,0.7,0.6145833333333334,,1.6492114189147948,2.1459230499267576,0.3551401869158878,0.6214953271028038,,-1,,1,0,10,0,0.43994960806271,0.9944008958566629,4,5.539,11.491
54,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.41825307950727886,0.08622620380739077,0.5555431131019036,0.7928331466965286,0.31220604703247484,0.30445,0.33333333333333337,0.9921875,0.5215773809523809,0.3250570589897654,0.991812865497076,0.5155587179918542,,,,0.53545,0.471,,,,0.7010416666666666,0.609375,,1.603362082672119,2.272374969482422,0.36775700934579436,0.9112149532710281,,-1,,0,2,10,1,0.4384098544232923,0.9942609182530795,4,4.297,11.375
56,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.5235162374020157,0.1114221724524076,0.5562150055991041,0.5940649496080627,0.3446248600223964,0.33504999999999996,0.3395833333333333,0.9921875,0.5260416666666666,0.33262985166608333,0.991812865497076,0.5209678556177956,,,,0.5375,0.555,,,,0.7104166666666667,0.6067708333333334,,1.5965733543395997,1.4969657135009766,0.3813084112149533,0.8177570093457944,,-1,,0,4,10,1,0.4374300111982083,0.9941209406494961,4,4.304,11.485
58,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.5386338185890258,0.11646136618141101,0.5616461366181411,0.5263157894736842,0.29630459126539754,0.2873,0.290625,0.9947916666666666,0.49181547619047616,0.2863514447718484,0.9945652173913043,0.4886982369488358,,,,0.5407,0.565,,,,0.7135416666666667,0.6067708333333334,,1.5870640991210938,1.4548746032714843,0.3658878504672897,0.7850467289719626,,-1,,0,6,10,2,0.4371500559910414,0.9941209406494961,4,4.232,11.489
60,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.5375139977603584,0.11646136618141101,0.5631578947368421,0.8790593505039194,0.2609182530795073,0.25375000000000003,0.253125,0.9713541666666666,0.4583333333333333,0.24591562656086235,0.9742054411390796,0.45399843072606727,,,,0.5427500000000001,0.565,,,,0.7166666666666666,0.6223958333333334,,1.5944110824584963,1.5156666717529297,0.3724299065420561,0.794392523364486,,-1,,0,1,10,0,0.45688689809630456,0.9927211646136618,4,4.327,11.28
62,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.5363941769316909,0.09686450167973126,0.5667973124300112,0.973124300111982,0.30123180291153423,0.29265,0.27708333333333335,0.9869791666666667,0.4799107142857143,0.2730137277879487,0.9862573099415205,0.4767976084032549,,,,0.5459999999999999,0.5725,,,,0.7197916666666667,0.6276041666666666,,1.594805502319336,1.4711873779296876,0.3724299065420561,0.8738317757009346,,-1,,0,1,10,0,0.47620380739081747,0.9941209406494961,4,4.355,11.495
64,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.4165733482642777,0.059910414333706585,0.5662374020156774,0.8913773796192609,0.3090705487122061,0.30050000000000004,0.2833333333333333,0.9895833333333334,0.4851190476190476,0.28109856804516714,0.9890350877192983,0.4833661450949189,,,,0.5453999999999999,0.472,,,,0.7239583333333333,0.6197916666666667,,1.5870212219238282,2.13579377746582,0.3714953271028037,0.9345794392523364,,-1,,0,3,10,0,0.47592385218365063,0.9941209406494961,4,4.273,11.445
