round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
210,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.03751399776035835,0.04423292273236279,0.36007838745800674,0.0,0.11982082866741321,0.12239999999999998,0.13645833333333332,0.9447916666666668,0.540625,0.13584018553658023,0.9457558790593505,0.5407980322979653,,,,0.34320000000000006,0.0335,0.46420000000000006,0.13125,0.12442953904118485,0.5718750000000001,0.5229166666666667,0.6885416666666667,2.76826651763916,2.456603759765625,0.20233644859813085,0.0,,-1,,0,1,10,0,0.3121500559910414,0.9548152295632699,10,1.328,26.314
220,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.03303471444568873,0.04815229563269874,0.3601343784994401,0.0,0.11707726763717805,0.12044999999999999,0.13229166666666667,0.9447916666666668,0.5385416666666667,0.13301134349521446,0.9576784426820476,0.545344893088631,,,,0.34280000000000005,0.0295,0.47985,0.184375,0.17780951546116344,0.5989583333333333,0.5958333333333333,0.7354166666666666,2.846808221435547,2.462084716796875,0.19813084112149532,0.0,,-1,,2,0,10,2,0.4009518477043673,0.9356662933930572,10,3.159,25.867
230,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.04703247480403139,0.04703247480403139,0.4091265397536395,0.011758118701007838,0.15638297872340426,0.1618,0.15520833333333334,0.990625,0.5729166666666667,0.14959595608409987,0.9893418993493123,0.569468927716706,,,,0.3934,0.042,0.4657,0.12291666666666667,0.1143735548158978,0.6041666666666667,0.5916666666666666,0.73125,2.5412714996337895,2.4455567932128908,0.2621495327102804,0.0,,-1,,2,0,10,2,0.38812989921612545,0.9993281075027995,10,3.247,25.429
240,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.020716685330347095,0.03695408734602468,0.4052631578947368,0.01791713325867861,0.19210526315789472,0.1897,0.225,0.9989583333333334,0.6119791666666667,0.23572283976292369,0.9989361702127659,0.6173295049878448,,,,0.38625,0.0185,0.49510000000000004,0.20104166666666665,0.19499460462941823,0.5906250000000001,0.5625,0.7229166666666667,2.6234959365844728,2.474054260253906,0.22757009345794393,0.0,,-1,,2,0,10,0,0.36746920492721163,0.9996080627099664,10,3.56,25.871
250,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.04199328107502798,0.04199328107502798,0.39893617021276595,0.0083986562150056,0.13689809630459127,0.13474999999999998,0.16354166666666667,0.996875,0.5802083333333333,0.16770812572907018,0.9967612293144208,0.5822346775217455,,,,0.38255000000000006,0.0375,0.48445,0.14479166666666668,0.13980796549185512,0.5927083333333333,0.5510416666666667,0.7427083333333333,2.6928867950439455,2.42539599609375,0.24579439252336446,0.0,,-1,,3,0,10,1,0.34434490481522956,0.9991041433370661,10,4.568,25.461
260,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.03135498320268759,0.05207166853303469,0.38017917133258683,0.0167973124300112,0.20447928331466966,0.20690000000000003,0.22499999999999995,0.996875,0.6109375,0.22396804842483525,0.9989247311827956,0.6114463898038155,,,,0.378,0.028,0.48539999999999994,0.15104166666666669,0.14591346153846155,0.55,0.5625,0.7416666666666666,2.704039308166504,2.433323028564453,0.3598130841121495,0.0,,-1,,0,1,10,2,0.37038073908174696,0.9994960806270997,10,1.26,25.783
270,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.033594624860022404,0.04535274356103025,0.364053751399776,0.011758118701007838,0.1893057110862262,0.19524999999999998,0.184375,0.9989583333333334,0.5916666666666667,0.1793148287071768,1.0,0.5896574143535884,,,,0.35545,0.03,0.48985,0.14270833333333335,0.1364336917562724,0.5604166666666666,0.5770833333333334,0.73125,2.992641470336914,2.4255045623779297,0.28364485981308407,0.0,,-1,,2,0,10,2,0.38309070548712204,1.0,10,3.479,26.073
280,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.025755879059350506,0.03639417693169089,0.4094624860022396,0.014557670772676373,0.08253079507278836,0.08885,0.13645833333333335,0.9604166666666668,0.5484375,0.1409184652031777,0.9620826259196378,0.5515005455614077,,,,0.39135,0.023,0.50195,0.18333333333333335,0.1778319436524205,0.578125,0.5364583333333334,0.746875,2.731809797668457,2.4646040344238282,0.24018691588785046,0.0,,-1,,2,0,10,2,0.399552071668533,0.9881858902575587,10,3.275,26.225
290,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.02407614781634937,0.02519596864501683,0.4437849944008959,0.008958566629339306,0.09109742441209408,0.1005,0.11770833333333335,0.9989583333333334,0.5583333333333333,0.10500098110315981,0.9989361702127659,0.5519685756579629,,,,0.42494999999999994,0.0215,0.51395,0.209375,0.2054219150422109,0.5927083333333334,0.5604166666666667,0.7270833333333333,2.575722032165527,2.438919708251953,0.26775700934579433,0.0,,-1,,1,0,10,2,0.40257558790593506,0.9993840985442329,10,2.343,25.646
300,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.03303471444568873,0.034714445688689755,0.39294512877939536,0.06103023516237402,0.07312430011198208,0.08325,0.07916666666666668,0.9854166666666668,0.5322916666666667,0.07308708849957848,0.9913515717003352,0.5322193300999568,,,,0.37699999999999995,0.0295,0.5084,0.19375,0.19102827872234676,0.6083333333333333,0.5385416666666667,0.7250000000000001,3.123624092102051,2.4495595092773437,0.2439252336448598,0.0,,-1,,2,0,10,1,0.3653415453527436,0.9912653975363941,10,3.953,26.047
