alpha,seed,client_id,is_malicious,n_valid_classes,M_nan_fraction,n_valid_t_columns,A_observable,A_mean_t_variant
1.0,0,93,False,10,0.0,10,-0.4280375838279724,-1.4401626586914062
1.0,0,94,False,10,0.0,10,-0.5944758653640747,-1.3824118375778198
1.0,0,95,False,10,0.0,10,-0.7311290502548218,-1.9114751815795898
1.0,0,96,False,10,0.0,10,-1.5514352321624756,-3.363774538040161
1.0,0,97,False,10,0.0,10,-0.08280634880065918,-1.187384843826294
1.0,0,98,True,9,0.10000000149011612,10,-0.045400142669677734,-1.9877887964248657
1.0,0,99,False,10,0.0,10,-0.20156767964363098,-1.1203497648239136
0.5,0,0,False,7,0.30000001192092896,10,0.9666743874549866,-0.3977285921573639
0.5,0,1,False,8,0.20000000298023224,10,-0.7466793060302734,-2.065115213394165
0.5,0,2,False,9,0.10000000149011612,10,-0.5778443217277527,-1.5620232820510864
0.5,0,3,False,8,0.20000000298023224,10,-1.7128093242645264,-2.965125799179077
0.5,0,4,False,9,0.10000000149011612,10,-0.4911697506904602,-1.7100938558578491
0.5,0,5,False,10,0.0,10,-1.0548452138900757,-2.484837532043457
0.5,0,6,False,9,0.10000000149011612,10,-0.7048916220664978,-1.623673677444458
0.5,0,7,True,10,0.0,10,-0.3564373254776001,-1.8222627639770508
0.5,0,8,True,7,0.30000001192092896,10,-0.6318106055259705,-1.7634637355804443
0.5,0,9,False,8,0.20000000298023224,10,0.38786864280700684,-1.0752698183059692
0.5,0,10,False,9,0.10000000149011612,10,0.6678707599639893,-0.7881420254707336
0.5,0,11,False,10,0.0,10,-1.172755241394043,-2.0824484825134277
0.5,0,12,False,9,0.10000000149011612,10,0.6558976173400879,-1.1789958477020264
0.5,0,13,False,9,0.10000000149011612,10,-0.7054027318954468,-1.9573256969451904
0.5,0,14,False,9,0.10000000149011612,10,-0.7886217832565308,-2.4328055381774902
0.5,0,15,False,10,0.0,10,0.11440169811248779,-1.1374471187591553
0.5,0,16,False,9,0.10000000149011612,10,0.4621918797492981,-1.2695661783218384
0.5,0,17,False,9,0.10000000149011612,10,1.6106433868408203,-0.44228801131248474
0.5,0,18,False,8,0.20000000298023224,10,-0.34081143140792847,-1.3414833545684814
0.5,0,19,False,8,0.20000000298023224,10,0.3446469306945801,-0.8748294115066528
0.5,0,20,False,8,0.20000000298023224,10,-0.5076214671134949,-2.365476131439209
0.5,0,21,False,9,0.10000000149011612,10,-1.3931372165679932,-2.9150311946868896
0.5,0,22,False,9,0.10000000149011612,10,0.05154860019683838,-0.9867037534713745
0.5,0,23,False,10,0.0,10,-1.9718929529190063,-2.878366470336914
0.5,0,24,False,9,0.10000000149011612,10,-0.8297540545463562,-1.7361736297607422
0.5,0,25,False,9,0.10000000149011612,10,0.45599597692489624,-1.6305229663848877
0.5,0,26,False,10,0.0,10,0.08252060413360596,-1.4608678817749023
0.5,0,27,False,10,0.0,10,-1.0794779062271118,-1.931549310684204
0.5,0,28,False,9,0.10000000149011612,10,0.1887814998626709,-0.5895840525627136
0.5,0,29,False,10,0.0,10,-0.21942663192749023,-1.8874084949493408
0.5,0,30,True,8,0.20000000298023224,10,-0.35978031158447266,-1.276987075805664
0.5,0,31,False,10,0.0,10,1.2743332386016846,-0.1402978003025055
0.5,0,32,False,7,0.30000001192092896,10,-0.6858069896697998,-2.199753522872925
0.5,0,33,True,10,0.0,10,0.9081778526306152,-0.13754163682460785
0.5,0,34,False,8,0.20000000298023224,10,-0.8019372820854187,-2.122326374053955
0.5,0,35,False,10,0.0,10,0.18426913022994995,-0.9003168940544128
0.5,0,36,False,7,0.30000001192092896,10,-0.16335293650627136,-1.1079838275909424
0.5,0,37,False,8,0.20000000298023224,10,0.36900773644447327,-1.158677101135254
0.5,0,38,False,8,0.20000000298023224,10,-0.037138283252716064,-0.9460265040397644
0.5,0,39,False,8,0.20000000298023224,10,-0.4875830411911011,-2.705639600753784
0.5,0,40,False,9,0.10000000149011612,10,-0.4497112035751343,-1.7937259674072266
0.5,0,41,False,10,0.0,10,-0.6748077869415283,-2.8409485816955566
0.5,0,42,False,9,0.10000000149011612,10,0.3857591152191162,-2.111640453338623
0.5,0,43,False,10,0.0,10,-0.7850210666656494,-1.808946967124939
0.5,0,44,False,10,0.0,10,-1.359323263168335,-1.6023826599121094
0.5,0,45,False,8,0.20000000298023224,10,-1.0624992847442627,-1.8849408626556396
0.5,0,46,False,9,0.10000000149011612,10,-0.5680039525032043,-2.85811185836792
0.5,0,47,False,10,0.0,10,-0.8887649774551392,-1.9317834377288818
0.5,0,48,False,9,0.10000000149011612,10,0.11909091472625732,-0.8763644099235535
0.5,0,49,False,8,0.20000000298023224,10,0.3769044876098633,-0.8072019815444946
