alpha,seed,client_id,is_malicious,class_id,is_target_class,numerator,denominator,ratio_J
1.0,0,25,False,1,False,1.049896642290648,1.4909596969165075,1.0275846699698095
1.0,0,25,False,2,False,0.9936391021420777,0.5447335375774287,2.6618374636938404
1.0,0,25,False,3,False,1.0100950666735793,0.5894499068148363,2.500646601746534
1.0,0,25,False,4,False,0.9034265477684363,0.8038381835975125,1.6400654892507074
1.0,0,25,False,5,False,1.0489517404469433,0.8584461383094324,1.7831153157795836
1.0,0,25,False,6,False,0.9132592918350513,1.2517073771750957,1.064702469755512
1.0,0,25,False,7,False,1.0284868739612436,1.2269398376673935,1.2232422116096664
1.0,0,25,False,8,False,0.9935420197579666,1.2709610388366106,1.1407513085846601
1.0,0,25,False,9,False,1.0744175507335525,1.3851827133466748,1.1318868245816864
1.0,0,26,False,0,True,1.00486430838392,0.552603864519857,2.6262925283466636
1.0,0,26,False,1,False,1.0736522815550162,1.5792581288771423,0.9818838692495029
1.0,0,26,False,2,False,0.9780859180158865,0.5259294526063297,2.6859573282740214
1.0,0,26,False,3,False,0.9948099114871954,0.6019355824107839,2.3869299945386055
1.0,0,26,False,4,False,0.896891918505477,0.7365571449029118,1.7586655609566744
1.0,0,26,False,5,False,1.0362530090692852,0.8773196323255958,1.7059156433672895
1.0,0,26,False,6,False,0.8970583874476692,1.2291908501798736,1.0540251833096626
1.0,0,26,False,7,False,1.0340932074740874,1.1952271727790884,1.2495649142932126
1.0,0,26,False,8,False,0.9910941161000213,1.2759342144371275,1.1218536610660248
1.0,0,26,False,9,False,1.0931966352004918,1.4260439569612904,1.1071716803396299
1.0,0,27,False,0,True,0.9781189839529184,0.537499736634852,2.687961837806113
1.0,0,27,False,1,False,1.0722144096738477,1.5656924497640128,1.0115441632728506
1.0,0,27,False,2,False,0.986681377849189,0.5631875435079415,2.587816974963171
1.0,0,27,False,3,False,1.010272091498242,0.5429638592965077,2.7483820224052966
1.0,0,27,False,4,False,0.9070934237921622,0.7513981460764402,1.783165140871217
1.0,0,27,False,5,False,1.0397559952790554,0.8471554529139789,1.812917281531685
1.0,0,27,False,6,False,0.9093035257544799,1.1890084351421177,1.1296232063349494
1.0,0,27,False,7,False,1.0231547537324592,1.2573745402970442,1.2019498021463697
1.0,0,27,False,8,False,0.9794046557945465,1.2562450496645163,1.151588891956323
1.0,0,27,False,9,False,1.0940010939989147,1.489474786702588,1.084911384672256
1.0,0,28,False,0,True,1.0025335707528884,0.5294351356313894,2.7694431398286112
1.0,0,28,False,1,False,1.082437862479593,1.57843266525622,1.0029590542326647
1.0,0,28,False,2,False,0.9748883086707633,0.5475848809840036,2.603812465620667
1.0,0,28,False,3,False,0.9925621276213261,0.5889976968428763,2.464622403242636
1.0,0,28,False,4,False,0.8943324594424759,0.784086720002467,1.6681733681647268
1.0,0,28,False,5,False,1.0345976835358883,0.833368122167043,1.8156866737384643
1.0,0,28,False,6,False,0.8903902494845548,1.1993600688446104,1.0857681509975847
1.0,0,28,False,7,False,1.0433385719269195,1.1762469878582686,1.2972779231642608
1.0,0,28,False,8,False,0.9862511666066782,1.232510503519234,1.1703161256477344
1.0,0,28,False,9,False,1.0986689893869974,1.5299772188938874,1.050239118316324
1.0,0,29,False,0,True,0.9936099517388415,0.5238974391706044,2.718098039353399
1.0,0,29,False,1,False,1.0868085692229978,1.6087844602030787,0.9681678384362026
1.0,0,29,False,2,False,0.9751184159472503,0.5537662257609172,2.5236339091700333
1.0,0,29,False,3,False,0.9920281237366322,0.5815703688224656,2.4446527226091908
1.0,0,29,False,4,False,0.9006517045958321,0.7587638011991603,1.701162231062659
1.0,0,29,False,5,False,1.0279330875672,0.8305308292030353,1.7737995801466144
1.0,0,29,False,6,False,0.8997697366012853,1.1892246905252433,1.0843336231113856
1.0,0,29,False,7,False,1.0291266015538254,1.1366384861568644,1.2976031989825616
1.0,0,29,False,8,False,0.9867485173095116,1.2371809755884218,1.143059163586058
1.0,0,29,False,9,False,1.1082061051626344,1.5796427233702088,1.0054422418855762
1.0,0,30,True,0,True,1.0112218888164608,0.5920916348283681,2.4662682478764744
1.0,0,30,True,1,False,1.0732354342619885,1.4510914934639647,1.0680288447237323
1.0,0,30,True,2,False,0.9855603593342591,0.538110935925475,2.644808209050449
1.0,0,30,True,3,False,0.9944795046975966,0.5749152802770119,2.4978983477856755
1.0,0,30,True,4,False,0.8994770004640914,0.785620622304729,1.6533315873527517
1.0,0,30,True,5,False,1.022949938357329,0.8961448844051242,1.6483860318611117
1.0,0,30,True,6,False,0.895321323492943,1.2302397683366357,1.0509255276542029
1.0,0,30,True,7,False,1.0294582884593584,1.2018713657468014,1.2368970150130254
1.0,0,30,True,8,False,1.008334270668008,1.257741039996774,1.1577001006506735
1.0,0,30,True,9,False,1.0799615486126857,1.472172974715116,1.059332331009963
1.0,0,31,False,0,True,0.9925381399255057,0.5293859524081097,2.73891137245314
1.0,0,31,False,1,False,1.067883964618785,1.5289918543620227,1.0202863614868265
1.0,0,31,False,2,False,0.9773390973024815,0.5464210082866356,2.6128896711370757
1.0,0,31,False,3,False,0.9886731713153728,0.5941122169237576,2.4310139677559888
1.0,0,31,False,4,False,0.9024757079669009,0.7685609705051467,1.715380159303427
1.0,0,31,False,5,False,1.0463773462184252,0.8496204398383076,1.7991466506259526
1.0,0,31,False,6,False,0.8864574257265874,1.1731960437509614,1.1038002306731938
1.0,0,31,False,7,False,1.0509453186795534,1.2554376257776108,1.2228921789816511
1.0,0,31,False,8,False,0.9816610391166992,1.2490747356124747,1.1480910157164044
1.0,0,31,False,9,False,1.1056485821203101,1.5051991525349728,1.073065756790295
1.0,0,32,False,0,True,0.9930257219907361,0.5271950571451712,2.7893467304488193
1.0,0,32,False,1,False,1.0720034088424113,1.5362705745803638,1.0333365441580917
1.0,0,32,False,2,False,0.984005708951873,0.5464303358688967,2.6667122180813245
1.0,0,32,False,3,False,1.0062306905053797,0.6007306809055261,2.4804534476407456
