alpha,seed,client_id,is_malicious,l2_bn1,l2_conv1,l2_layer1,l2_layer2,l2_layer3,l2_layer4,l2_linear,update_l2_to_global,l2_to_median,n_participations,n_local_samples
0.5,0,35,False,7.860939342291564,0.006641266606431479,9.79587675912436,18.517790091310733,23.13723255029052,36.00727564047895,0.004647804731455184,48.29610824584961,1.9029814004898071,95,500
0.5,0,36,False,7.869575599716616,0.011649367204770644,9.283691874167454,18.0491200208449,22.949746112683457,35.84150585062768,0.0182133429987734,47.80356979370117,2.5798568725585938,103,500
0.5,0,37,False,7.869657322462537,0.005122156077411038,9.435180255154563,18.033438008824298,22.99011838116526,35.74366669866689,0.006693396597004561,47.773555755615234,2.081820011138916,100,500
0.5,0,38,False,7.867983499353497,0.009058053078149572,9.6185622312625,18.259842804957,22.96425912754459,35.79245728727595,0.01195486848998335,47.919677734375,1.8099417686462402,86,500
0.5,0,39,False,7.884965134828114,0.006189153224478261,9.186515422689862,17.874327582431025,22.85710814692159,35.72224693533393,0.009182835348381189,47.58760070800781,3.249802589416504,111,500
0.5,0,40,False,7.8829718272172595,0.007783724552449139,10.068156409413271,18.628322995361,23.240151498605425,36.08964778380103,0.012989552600121067,48.50862503051758,3.062553644180298,103,500
0.5,0,41,False,7.875404210351148,0.006116349615008453,9.784856214417731,18.39235232090595,23.116371241117623,35.85165326738614,0.006291114856259011,48.12223434448242,1.9699238538742065,100,500
0.5,0,42,False,7.867973191804818,0.00559973293942909,9.806026336207532,18.535953039116812,23.08671682955743,35.929075438958634,0.0061872881048246385,48.22382736206055,2.352365255355835,89,500
0.5,0,43,False,7.8635178945855575,0.00814274005352582,9.858065670445955,18.362084811971393,23.023185935501147,35.824110408295624,0.011474156136431617,48.05842971801758,2.058523178100586,85,500
0.5,0,44,False,7.8855123097835715,0.005489571045302263,9.473300571204401,18.158752426058825,23.018788945787357,35.868289932499536,0.004774197238395236,47.93810272216797,2.092877149581909,110,500
0.5,0,45,False,7.8673720328689765,0.010920902320952715,9.694143100911468,18.341173092837316,23.060274248868247,35.85777715375257,0.01568299775584037,48.0605583190918,2.2365710735321045,98,500
0.5,0,46,False,7.863738031806852,0.013633548711911428,9.98974318087446,18.590600851559156,23.17152611018131,35.97413787470707,0.018418330784646296,48.355873107910156,2.376302719116211,89,500
0.5,0,47,False,7.872737771990381,0.005436112585285557,9.873282108317571,18.587754664759316,23.188930333028615,36.00377998264166,0.005805765760926073,48.36282730102539,2.2151124477386475,105,500
0.5,0,48,False,7.872871212902945,0.012388165204334958,9.869789239414812,18.622328163145497,23.11753593704522,35.85567321623048,0.018750243814632726,48.23094940185547,2.044471263885498,111,500
0.5,0,49,False,7.8622282998417425,0.006404304706053034,9.685662982923844,18.289073287383967,23.077539373149346,35.769930092955896,0.00901658376642339,47.980979919433594,1.9157497882843018,97,500
0.5,0,50,False,7.8953618722047985,0.0038311330062151087,9.529900417683569,18.358178722172376,23.100336004030183,35.89110583026278,0.0074912873290197525,48.08298873901367,2.5172698497772217,116,500
0.5,0,51,False,7.874292951208326,0.006242138406747134,9.550087415983139,18.400054434582387,23.054957111083564,35.873417983007776,0.012772206478902641,48.06454849243164,2.492959976196289,107,500
0.5,0,52,False,7.874571978767249,0.010294677789966612,9.693465271310043,18.45017536035236,23.11774663778409,35.912065068446935,0.009315163254425107,48.171382904052734,2.0885226726531982,108,500
0.5,0,53,False,7.884172383712631,0.003326082568342054,9.427896700482577,18.150921149279302,23.013881633384685,35.91807818209779,0.0068649424540024664,47.96088409423828,2.8300814628601074,109,500
0.5,0,54,True,7.8857874006268425,0.008037812908599111,10.035554232416235,19.048979480981174,23.343686225368216,35.56847161540806,0.012003164298943806,48.33012771606445,5.402572154998779,105,500
