round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,precision,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign
272,invariant,0.2,0.25,0.5,0,3,10,,,,0.11756021379810866,0.15185928801263393,0.3321623914765452,0.4290732607957664,0.3539239143706909,1.4088872608413874e-06,4,3.0,3.0,,,,,,
273,invariant,0.2,0.25,0.5,0,1,10,,,,0.10007397280333498,0.14337121537437625,0.2878967191711986,0.41245592009208903,0.3476037277931803,2.205214843056085e-06,4,3.0,7.0,,,,,,
274,invariant,0.2,0.25,0.5,0,1,10,,,,0.0887639801185591,0.1448294360499039,0.2550269710026499,0.4161081143330389,0.3480572261419235,2.2460521549645307e-06,4,2.0,8.0,,,,,,
275,invariant,0.2,0.25,0.5,0,2,10,,,,0.0971834517014992,0.15032938327256937,0.27826289101215684,0.4304342772469608,0.34925049239588835,1.4293059167956105e-06,4,3.5,4.0,,,,,,
276,invariant,0.2,0.25,0.5,0,1,10,,,,0.09648394217510352,0.14690278323768982,0.27205225052384063,0.4142164166084622,0.354652247828578,1.8172603799258476e-06,4,3.0,8.0,,,,,,
277,invariant,0.2,0.25,0.5,0,3,10,,,,0.10941026249149655,0.15519577572130397,0.3093741504988346,0.4388396497862138,0.35365030438090433,1.5722365084751715e-06,4,3.0,5.0,,,,,,
278,invariant,0.2,0.25,0.5,0,2,10,,,,0.08496881525860178,0.15415139640685113,0.24222324859999483,0.4394441878500013,0.35078720044300316,1.6947484442005097e-06,4,1.5,7.0,,,,,,
279,invariant,0.2,0.25,0.5,0,1,10,,,,0.08788698874815332,0.14894871951141236,0.24610871464152395,0.4170990317064974,0.3571063660877161,2.0418655954223007e-06,4,1.0,5.0,,,,,,
280,invariant,0.2,0.25,0.5,0,2,10,,,,0.11771046568850584,0.1469382181026354,0.33371107846848647,0.4165722303828784,0.3527316690495238,1.4497245727498334e-06,4,4.5,5.0,,,,,,
281,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13888492086341514,,0.4,0.3472123021585378,1.9601909716054086e-06,4,,,,,,,,
282,invariant,0.2,0.25,0.5,0,1,10,,,,0.10913483616321853,0.1409776176664228,0.3168072899502234,0.4092436344499752,0.3444833487902559,2.0827029073307465e-06,4,5.0,5.0,,,,,,
283,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14395993696352533,,0.39999999999999997,0.35989984240881334,1.8785163477885167e-06,4,,,,,,,,
284,invariant,0.2,0.25,0.5,0,1,10,,,,0.10850210989371303,0.14268794703149992,0.3116323857851851,0.4098186238016461,0.3481734082943031,1.9806096275596317e-06,4,3.0,3.0,,,,,,
285,invariant,0.2,0.25,0.5,0,2,10,,,,0.12002996233743327,0.14477048716012345,0.3433783932232931,0.4141554016941767,0.3495559554889635,1.8172603799258476e-06,4,5.5,4.5,,,,,,
