run_id,bad_client_num,poison_rate,seed,client_id,is_malicious,asr_std_filtered,asr_unfiltered,n_eligible,n_total
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,26,True,1.0,1.0,249,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,27,False,0.0,0.0,250,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,28,True,1.0,1.0,242,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,29,False,0.0,0.0,250,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,30,False,0.03508771929824561,0.036,228,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,31,True,1.0,1.0,206,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,32,False,0.12389380530973451,0.148,226,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,33,True,1.0,1.0,242,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,34,True,1.0,1.0,214,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,35,True,1.0,1.0,205,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,36,False,0.04048582995951417,0.044,247,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,37,False,0.30917874396135264,0.324,207,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,38,True,1.0,1.0,204,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,39,True,1.0,1.0,231,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,0,False,0.016736401673640166,0.024,239,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,1,False,0.30120481927710846,0.304,249,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,2,False,0.2929936305732484,0.424,157,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,3,False,0.21,0.264,200,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,4,False,0.06224066390041494,0.064,241,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,5,False,0.02608695652173913,0.036,230,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,6,False,0.0425531914893617,0.04,235,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,7,False,0.47398843930635837,0.584,173,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,8,False,0.14166666666666666,0.144,240,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,9,False,0.02074688796680498,0.02,241,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,10,False,0.016,0.016,250,250
