run_id,round_from,round_to,kind,phase,span_rounds,scope,group,n_params,l2_delta,energy,energy_share,mean_abs_delta,l2_base,relative_displacement,cos_theta_delta
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer2.0.shortcut.0,8192,0.4245388440864383,0.1802332301382492,0.0070143642033632,0.003652606322565033,6.61322334575944,0.06419544931272629,0.10423200715228369
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer2.0.shortcut.1,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer2.1.bn1,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer2.1.bn2,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer2.1.conv1,147456,1.0809376737491188,1.1684262545301562,0.045473119955512335,0.002218204390708013,6.873516821118166,0.15726122476750914,0.14440359116524284
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer2.1.conv2,147456,1.1313095351455313,1.2798612643111984,0.04980997694359385,0.0023285039717371022,6.886135647838622,0.16428801188379433,0.14747451099254902
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer3.0.bn1,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer3.0.bn2,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer3.0.conv1,294912,1.4189746134003016,2.0134889534745355,0.07836149209713214,0.0020563148764255706,9.524472965675733,0.148981956115997,0.10514664234681304
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer3.0.conv2,589824,1.9070926749675172,3.63700247091476,0.1415458177160749,0.001956272222076106,9.643517812696935,0.19775902445646792,0.10608496080747068
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer3.0.shortcut.0,32768,0.639029503851727,0.40835870679298436,0.015892611439429105,0.0027663376748103888,9.310052787992209,0.06863865526905773,0.07014332737508283
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer3.0.shortcut.1,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer3.1.bn1,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer3.1.bn2,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer3.1.conv1,589824,1.4814831967008883,2.194792462107083,0.08541750968013169,0.0015140070243688472,9.418429294976718,0.15729620622528126,0.07521200957696451
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer3.1.conv2,589824,1.3602287205203791,1.8502221721285075,0.07200743260547535,0.0013681951925008256,9.419259510498673,0.14440930510559488,0.08319166057518863
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer4.0.bn1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer4.0.bn2,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer4.0.conv1,1179648,1.3847871134306124,1.917635349523488,0.07463103635485947,0.0009592845860015419,13.187896820012451,0.10500439397806155,0.05769377385430925
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer4.0.conv2,2359296,1.4624169315706452,2.1386632817445013,0.0832330594919094,0.0007151336519718044,13.280256454536627,0.11011963033824347,0.07048020074033023
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer4.0.shortcut.0,131072,0.8459487000142162,0.7156292030557424,0.02785104534244406,0.0017537687306087985,13.222409269003766,0.06397840838260134,0.09007981212669565
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer4.0.shortcut.1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer4.1.bn1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer4.1.bn2,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer4.1.conv1,2359296,1.4346106107579844,2.058107604499397,0.08009797248041704,0.0006797537593676025,13.40533832564332,0.10701785929667221,0.09393879677331123
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer4.1.conv2,2359296,0.8430383553750453,0.7107136686334613,0.02765974128233483,0.0004136107021622516,13.374029528671224,0.06303547884111822,0.11024431969214174
attack_a0.5_s0_e1b_persist_s0,100,150,bias+weight,mixed,50,layer,linear,5130,0.95176556042521,0.9058576820115141,0.03525440726534854,0.010874315776421846,3.981601564879226,0.23904088465820159,0.9145808244959558
attack_a0.5_s0_e1b_persist_s0,100,150,bias,mixed,50,kind,bias,10,0.021109772514611363,0.0004456224956186413,1.734285336329564e-05,0.0060272540897130964,0.12323733708140806,0.1712936437491073,0.39969161256409264
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,kind,bn_affine,9600,0.0,0.0,0.0,0.0,69.2820323027551,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_buffer,mixed,50,kind,bn_buffer,9600,0.0,0.0,0.0,0.0,69.2820323027551,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,kind,weight,11164352,5.0689675524218005,25.69443204750506,0.9999826571466367,0.0009788553147012616,41.40392705485959,0.12242721676389522,0.11805021692160814
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,bn1,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,conv1,1728,0.3713097077938062,0.13787089910192174,0.005579762948648885,0.006967129822176806,5.562059316669623,0.06675759582084682,0.5351104868672032
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer1.0.bn1,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer1.0.bn2,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer1.0.conv1,36864,0.5624114238740265,0.3163066097040099,0.012801221379824729,0.0022787136495746843,5.503697268260236,0.10218792867068603,0.26264303848169507
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer1.0.conv2,36864,0.6157497222383053,0.3791477204365501,0.015344459319095423,0.002523194035070971,5.428643892436227,0.1134260663323734,0.24753517026156457
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer1.1.bn1,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer1.1.bn2,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer1.1.conv1,36864,0.5442840650944678,0.2962451435157588,0.01198931526720828,0.0022157659871325907,5.192212163561095,0.10482700782418893,0.2175898865221103
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer1.1.conv2,36864,0.5845620223386382,0.3417127579606385,0.01382943172467364,0.0024125262529747843,5.1671667582194685,0.11313008650413092,0.2063750914822964
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer2.0.bn1,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer2.0.bn2,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer2.0.conv1,73728,0.7514080404079754,0.5646140431897535,0.022850453134044407,0.002159873227079086,7.003718020574022,0.1072870207225148,0.1626107959777976
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer2.0.conv2,147456,1.143711067452531,1.308075005813408,0.052939006701448243,0.002350679274645293,7.244008258543021,0.15788373323618551,0.16746823952447154
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer2.0.shortcut.0,8192,0.41509163956609213,0.17230106923766655,0.006973183814767169,0.0035822498871308506,6.670849541423148,0.06222470421324136,0.12600551358032977
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer2.0.shortcut.1,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer2.1.bn1,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer2.1.bn2,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer2.1.conv1,147456,1.0227386277500223,1.045994300691999,0.04233235789072884,0.002108022914311565,7.110516988832269,0.14383463668764576,0.16629323883550798
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer2.1.conv2,147456,1.1223228845315958,1.2596086571433216,0.050977528693201345,0.002315683454961754,7.141182101664821,0.15716205924365786,0.17322885786098835
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer3.0.bn1,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer3.0.bn2,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer3.0.conv1,294912,1.4662684119780776,2.1499430559647132,0.08701018622144935,0.002130158358847745,9.776051600109536,0.1499857480254757,0.13243611180511902
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer3.0.conv2,589824,1.9600858628025306,3.8419365895583413,0.15548673123273546,0.0020206348837083885,10.026787757780854,0.19548492599551545,0.1373341502141422
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer3.0.shortcut.0,32768,0.678687633214638,0.460616903478487,0.018641592593449746,0.002949458133943296,9.376569885798462,0.07238122698179456,0.09150761983676783
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer3.0.shortcut.1,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer3.1.bn1,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer3.1.bn2,512,0.0,0.0,0.0,0.0,16.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer3.1.conv1,589824,1.647320664716523,2.7136653724020876,0.10982455034812777,0.0016946212088084277,9.643676995865519,0.1708187308039008,0.10470588689810496
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer3.1.conv2,589824,1.4895188614867665,2.218666438724833,0.08979148515638453,0.001516686772814394,9.628314120124385,0.15470193877176122,0.11411149831038045
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer4.0.bn1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer4.0.bn2,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer4.0.conv1,1179648,1.461688899146425,2.136534437887888,0.086467527032128,0.001031682778379909,13.339621990448483,0.10957498647210785,0.07917604133761721
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer4.0.conv2,2359296,1.4459350920223408,2.0907282903416555,0.0846137098265851,0.0007161943507508505,13.46259652012013,0.1074038793230831,0.09042025626764755
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer4.0.shortcut.0,131072,0.8156455560850361,0.6652776731612677,0.026924403448797433,0.001705890629034445,13.32527327831463,0.06121041865703473,0.1044613498408127
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer4.0.shortcut.1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer4.1.bn1,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,bn_affine,attack,50,layer,layer4.1.bn2,1024,0.0,0.0,0.0,0.0,22.627416997969522,0.0,nan
attack_a0.5_s0_e1b_persist_s0,150,200,weight,attack,50,layer,layer4.1.conv1,2359296,1.2773123640843587,1.631526875442773,0.06602940336662806,0.000614340224297174,13.615225301490389,0.0938150001781122,0.11161304488916002
