run_id,round_from,round_to,kind,phase,span_rounds,bin,x_low,x_high,count,x_mean,y_mean,y_median,y_std
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,0,0.0,0.0017076902673579754,1117397,0.0008496672033628957,0.0010732209414303082,0.0006519548769574612,0.001245748530940668
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,1,0.0017076902673579754,0.0034237554762512447,1117396,0.0025659239490731733,0.0010780664899749856,0.0006577532622031868,0.0012446333959277955
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,2,0.0034237554762512447,0.005144833587110043,1117395,0.0042832127221308185,0.0010764024706173758,0.000657177995890379,0.0012417828954484802
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,3,0.005144833587110043,0.006863995641469956,1117397,0.006004081258167459,0.001075440959318052,0.0006565717048943043,0.0012403847529062473
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,4,0.006863995641469956,0.008591377176344395,1117396,0.007727925086427552,0.0010744706544868335,0.0006553672719746828,0.0012424983502328077
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,5,0.008591377176344395,0.010341065004467964,1117395,0.00946280133094241,0.0010742768534460225,0.000651816837489605,0.0012438112844469476
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,6,0.010341065004467964,0.01216469313949347,1117397,0.011241914032791117,0.0010810636333241411,0.0006526913493871689,0.0012569166199773137
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,7,0.01216469313949347,0.014299026876688006,1117396,0.013183780427322173,0.0011330340760325726,0.0006779218092560768,0.0013115127714359287
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,8,0.014299026876688006,0.018141831643879416,1117396,0.01592323251026075,0.0014738590981693948,0.0009618429467082024,0.0015308365297756104
attack_a0.5_s0_e1b_persist_s0,200,350,anchor,clean,150,9,0.018141831643879416,1.0,1117397,0.03142363890873834,0.0024090051324437514,0.001851402223110199,0.0022917645743852307
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,0,0.0,0.0017076902673579754,1117397,0.0008496672033628957,0.00112028418262025,0.0006838054832769558,0.0012945469697333498
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,1,0.0017076902673579754,0.0034237554762512447,1117396,0.0025659239490731733,0.0011249301490741765,0.0006900613661855459,0.0012921150458953137
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,2,0.0034237554762512447,0.005144833587110043,1117395,0.0042832127221308185,0.001123292650264544,0.0006890189833939075,0.0012905612148666346
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,3,0.005144833587110043,0.006863995641469956,1117397,0.006004081258167459,0.0011224245012218508,0.0006886650808155537,0.0012893847487711108
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,4,0.006863995641469956,0.008591377176344395,1117396,0.007727925086427552,0.0011214581456422304,0.0006869083736091852,0.0012915168693043444
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,5,0.008591377176344395,0.010341065004467964,1117395,0.00946280133094241,0.0011219302432084047,0.0006848564371466637,0.0012926571047723518
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,6,0.010341065004467964,0.01216469313949347,1117397,0.011241914032791117,0.0011278661529588454,0.0006832247599959373,0.001305945019065161
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,7,0.01216469313949347,0.014299026876688006,1117396,0.013183780427322173,0.001182411591743267,0.0007111411541700363,0.0013618697923618755
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,8,0.014299026876688006,0.018141831643879416,1117396,0.01592323251026075,0.0015351301056917544,0.001003999263048172,0.0015888134987965719
attack_a0.5_s0_e1b_persist_s0,200,400,anchor,clean,200,9,0.018141831643879416,1.0,1117397,0.03142363890873834,0.0025068205084873606,0.0019276812672615051,0.0024216777374849157
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,0,0.0,0.0017119148978963494,1117396,0.0008523125034183916,0.0005679780359911749,0.00032723290496505797,0.0006883249939728291
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,1,0.0017119148978963494,0.0034315561875700963,1117397,0.0025717813228641278,0.0005720529198900031,0.00032970914617180824,0.000691678883524732
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,2,0.0034315561875700963,0.0051553761586546915,1117396,0.004292975837908156,0.0005705226319905238,0.0003291777102276683,0.0006889262169791756
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,3,0.0051553761586546915,0.00688384771347046,1117396,0.006019126880376968,0.0005699565687310375,0.00032932450994849205,0.0006880415851680676
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,4,0.00688384771347046,0.008620161563158035,1117396,0.007750760313110266,0.0005690111085418339,0.0003281119279563427,0.0006880747364297892
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,5,0.008620161563158035,0.010387174040079118,1117396,0.009499527998217829,0.0005691796840223782,0.00032653147354722023,0.0006903494101379088
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,6,0.010387174040079118,0.012251213006675248,1117396,0.011305875405092546,0.0005750961192964893,0.00032803090289235115,0.0006983572572533865
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,7,0.012251213006675248,0.014467910304665571,1117396,0.013305587366575389,0.0006099128842727707,0.0003475514240562916,0.0007303631473909983
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,8,0.014467910304665571,0.01851911507546903,1117396,0.016178777348534866,0.0008003082035872704,0.0005083074793219566,0.0008541182583735418
attack_a0.5_s0_e1b_persist_s0,250,300,segment,clean,50,9,0.01851911507546903,1.0,1117397,0.032133887806145095,0.0012972354858156617,0.000998329371213913,0.0011630733411581637
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,0,0.0,0.0017138648545369506,1117396,0.0008525134129911866,0.00038216275657713185,0.00021808423480251804,0.0004662067659515018
